"Crop","Season","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Area-2025-26","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Production-2025-26","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25","Yield-2025-26"
"Urad","Rabi","10.09","6.41","5.89","6.18","6.11","9.11","6.33","4.87","5.53","5.70","903.00","988.00","828.00","894.00","934.00"
"Urad","Summer","","2.63","2.66","3.58","4.34","","2.30","2.28","3.48","4.58","","875.00","856.00","974.00","1055.00"
"Urad","Total","46.33","40.02","35.36","31.57","31.70","27.76","26.31","23.19","22.42","21.60","599.00","657.00","656.00","710.00","681.00"
"Moong","Kharif","38.43","34.86","31.74","34.14","37.45","14.80","17.18","11.54","17.74","19.32","385.00","493.00","364.00","520.00","516.00"
"Moong","Rabi","17.08","1.50","1.38","1.36","1.48","16.86","1.10","1.01","1.00","1.28","987.00","730.00","733.00","738.00","865.00"
"Moong","Summer","","19.10","18.74","23.49","22.82","","18.48","18.47","23.70","24.31","","968.00","985.00","1009.00","1065.00"
"Moong","Total","55.51","55.46","51.87","58.99","61.76","31.66","36.76","31.03","42.44","44.92","570.00","663.00","598.00","719.00","727.00"
"Lentil","Rabi","14.12","16.37","17.43","16.99","17.63","12.69","15.59","17.91","16.54","17.62","899.00","952.00","1028.00","973.00","999.00"
"Lentil","Total","14.12","16.37","17.43","16.99","17.63","12.69","15.59","17.91","16.54","17.62","899.00","952.00","1028.00","973.00","999.00"
"Other Pulses","Kharif","17.51","14.42","16.40","16.75","15.66","6.69","8.24","7.99","9.93","9.46","382.00","571.00","487.00","593.00","604.00"
"Other Pulses","Rabi","17.44","17.34","16.82","18.33","18.50","16.58","17.90","17.78","18.11","19.44","951.00","1032.00","1057.00","988.00","1051.00"
"Other Pulses","Total","34.95","31.77","33.22","35.08","34.16","23.27","26.14","25.77","28.04","28.90","666.00","823.00","776.00","799.00","846.00"
"Total Pulses","Kharif","141.19","120.95","116.25","116.06","118.97","82.35","76.21","69.74","77.33","76.02","583.00","630.00","600.00","666.00","639.00"
"Total Pulses","Rabi","166.12","146.33","137.39","134.08","140.32","190.67","163.58","151.97","152.32","169.18","1148.00","1118.00","1106.00","1136.00","1206.00"
"Total Pulses","Summer","","21.73","21.41","27.07","27.16","","20.79","20.75","27.18","28.89","","957.00","969.00","1004.00","1064.00"
"Total Pulses","Total","307.31","289.01","275.05","277.20","286.46","273.02","260.58","242.46","256.83","274.09","888.00","902.00","881.00","926.00","957.00"
"Total Food Grains","Kharif","728.96","706.96","706.39","735.16","757.79","1553.64","1557.11","1557.68","1694.60","1760.38","2131.00","2203.00","2205.00","2305.00","2323.00"
"Total Food Grains","Rabi","572.72","553.10","551.11","565.91","588.82","1602.52","1578.41","1600.06","1691.66","1805.12","2798.00","2854.00","2903.00","2989.00","3066.00"
"Total Food Grains","Summer","","61.97","63.54","74.40","76.64","","161.35","165.24","191.06","200.13","","2603.00","2601.00","2568.00","2611.00"
"Total Food Grains","Total","1301.69","1322.04","1321.04","1375.46","1423.25","3156.16","3296.87","3322.98","3577.32","3765.63","2425.00","2494.00","2515.00","2601.00","2646.00"
"Groundnut","Kharif","49.13","42.63","40.44","50.05","50.29","84.34","85.62","86.60","104.12","113.42","1717.00","2009.00","2142.00","2080.00","2255.00"
"Groundnut","Rabi","7.92","4.21","3.42","3.37","3.16","17.01","11.03","7.55","6.78","7.59","2147.00","2619.00","2208.00","2011.00","2404.00"
"Groundnut","Summer","","2.77","3.22","4.20","5.23","","6.32","7.65","8.52","9.73","","2279.00","2377.00","2029.00","1861.00"
"Groundnut","Total","57.05","49.61","47.07","57.62","58.67","101.35","102.97","101.80","119.42","130.74","1777.00","2075.00","2163.00","2073.00","2228.00"
"Castorseed","Kharif","8.31","10.19","10.41","9.65","10.89","16.19","19.80","19.59","17.86","21.57","1948.00","1942.00","1881.00","1852.00","1981.00"
"Castorseed","Total","8.31","10.19","10.41","9.65","10.89","16.19","19.80","19.59","17.86","21.57","1948.00","1942.00","1881.00","1852.00","1981.00"
"Sesamum","Kharif","16.27","10.43","10.08","10.39","9.63","7.89","3.92","3.95","4.44","4.52","485.00","375.00","392.00","427.00","470.00"
"Sesamum","Rabi","","0.53","0.49","0.41","0.57","","0.31","0.28","0.19","0.31","","592.00","559.00","467.00","535.00"
"Sesamum","Summer","","4.27","4.74","4.96","5.04","","3.79","4.24","4.31","4.51","","888.00","896.00","867.00","895.00"
"Sesamum","Total","16.27","15.23","15.31","15.76","15.24","7.89","8.02","8.47","8.93","9.34","485.00","527.00","553.00","567.00","613.00"
"Nigerseed","Kharif","0.97","0.88","0.83","1.01","0.83","0.33","0.29","0.27","0.40","0.32","337.00","325.00","323.00","394.00","382.00"
"Nigerseed","Total","0.97","0.88","0.83","1.01","0.83","0.33","0.29","0.27","0.40","0.32","337.00","325.00","323.00","394.00","382.00"
"Soybean","Kharif","121.47","130.84","132.55","129.52","123.86","129.87","149.85","130.62","152.68","125.96","1069.00","1145.00","985.00","1179.00","1017.00"
"Soybean","Total","121.47","130.84","132.55","129.52","123.86","129.87","149.85","130.62","152.68","125.96","1069.00","1145.00","985.00","1179.00","1017.00"
"Sunflower","Kharif","1.38","2.18","0.67","0.78","0.88","1.11","2.04","0.60","0.72","0.88","802.00","933.00","894.00","925.00","997.00"
"Sunflower","Rabi","1.33","1.10","0.53","0.81","1.03","1.39","1.17","0.74","1.21","1.38","1048.00","1061.00","1397.00","1481.00","1350.00"
"Sunflower","Summer","","0.36","0.32","0.35","0.35","","0.43","0.39","0.43","0.44","","1181.00","1247.00","1241.00","1277.00"
"Sunflower","Total","2.71","3.64","1.51","1.94","2.25","2.50","3.63","1.73","2.36","2.70","923.00","996.00","1144.00","1214.00","1201.00"
"Rapeseed & Mustard","Rabi","79.91","88.52","91.83","86.57","94.27","119.63","126.43","132.59","126.67","137.68","1497.00","1428.00","1444.00","1463.00","1460.00"
"Rapeseed & Mustard","Total","79.91","88.52","91.83","86.57","94.27","119.63","126.43","132.59","126.67","137.68","1497.00","1428.00","1444.00","1463.00","1460.00"
"Linseed","Rabi","1.97","2.39","1.75","1.69","1.94","1.26","1.67","1.13","1.12","1.61","642.00","698.00","644.00","666.00","828.00"
"Linseed","Total","1.97","2.39","1.75","1.69","1.94","1.26","1.67","1.13","1.12","1.61","642.00","698.00","644.00","666.00","828.00"
