state,district,crop,season,crop_year,area_hectare,production_tonne,yield_kg_per_hectare
Dadra And Nagar Haveli,,Rice,Total,2023,0.17,0.36,2068.00
Dadra And Nagar Haveli,,Rice,Total,2024,0.16,0.33,2068.00
Daman And Diu,,Rice,Kharif,2021,0.01,0.03,1936.00
Daman And Diu,,Rice,Rabi,2021,0.00,0.00,0.00
Daman And Diu,,Rice,Total,2021,0.01,0.03,1936.00
Delhi,,Rice,Kharif,2021,0.06,0.19,3106.00
Delhi,,Rice,Kharif,2022,0.06,0.17,3067.00
Delhi,,Rice,Kharif,2023,0.06,0.17,3067.00
Delhi,,Rice,Kharif,2024,0.05,0.15,2800.00
Delhi,,Rice,Rabi,2021,0.00,0.00,0.00
Delhi,,Rice,Total,2021,0.06,0.19,3106.00
Delhi,,Rice,Total,2022,0.06,0.17,3067.00
Delhi,,Rice,Total,2023,0.06,0.17,3067.00
Delhi,,Rice,Total,2024,0.05,0.15,2800.00
Goa,,Rice,Kharif,2021,0.23,0.66,2816.00
Goa,,Rice,Kharif,2022,0.23,0.63,2789.00
Goa,,Rice,Kharif,2023,0.23,0.68,2890.00
Goa,,Rice,Kharif,2024,0.24,0.52,2171.00
Goa,,Rice,Rabi,2021,0.09,0.25,2742.00
Goa,,Rice,Rabi,2022,0.09,0.25,2842.00
Goa,,Rice,Rabi,2023,0.09,0.27,2983.00
Goa,,Rice,Rabi,2024,0.09,0.25,2832.00
Goa,,Rice,Total,2021,0.32,0.90,2795.00
Goa,,Rice,Total,2022,0.32,0.88,2804.00
Goa,,Rice,Total,2023,0.32,0.95,2916.00
Goa,,Rice,Total,2024,0.33,0.77,2348.00
Gujarat,,Rice,Kharif,2021,8.18,18.85,2304.00
Gujarat,,Rice,Kharif,2022,8.68,21.66,2496.00
Gujarat,,Rice,Kharif,2023,8.73,21.38,2449.00
Gujarat,,Rice,Kharif,2024,8.86,20.94,2362.00
Gujarat,,Rice,Kharif,2025,9.05,15.16,1675.00
Gujarat,,Rice,Rabi,2021,0.74,2.16,2924.00
Gujarat,,Rice,Summer,2022,0.79,2.30,2899.00
Gujarat,,Rice,Summer,2023,0.95,2.69,2816.00
Gujarat,,Rice,Summer,2024,1.28,3.51,2738.00
Gujarat,,Rice,Summer,2025,1.35,3.71,2738.00
Gujarat,,Rice,Total,2021,8.92,21.01,2355.00
Gujarat,,Rice,Total,2022,9.47,23.96,2530.00
Gujarat,,Rice,Total,2023,9.69,24.07,2485.00
Gujarat,,Rice,Total,2024,10.14,24.45,2410.00
Gujarat,,Rice,Total,2025,10.40,18.86,1813.00
Haryana,,Rice,Kharif,2021,12.81,46.18,3605.00
Haryana,,Rice,Kharif,2022,15.20,51.09,3362.00
Haryana,,Rice,Kharif,2023,15.63,59.76,3822.00
Haryana,,Rice,Kharif,2024,16.09,60.60,3766.00
Haryana,,Rice,Kharif,2025,17.26,61.62,3570.00
Haryana,,Rice,Rabi,2021,,0.00,
Haryana,,Rice,Total,2021,12.81,46.18,3605.00
Haryana,,Rice,Total,2022,15.20,51.09,3362.00
Haryana,,Rice,Total,2023,15.63,59.76,3822.00
Haryana,,Rice,Total,2024,16.09,60.60,3766.00
Haryana,,Rice,Total,2025,17.26,61.62,3570.00
Himachal Pradesh,,Rice,Kharif,2021,0.66,1.68,2532.00
Himachal Pradesh,,Rice,Kharif,2022,0.67,1.31,1942.00
Himachal Pradesh,,Rice,Kharif,2023,0.70,1.73,2474.00
Himachal Pradesh,,Rice,Kharif,2024,0.68,1.42,2080.00
Himachal Pradesh,,Rice,Kharif,2025,0.65,1.34,2076.00
Himachal Pradesh,,Rice,Rabi,2021,,0.00,
Himachal Pradesh,,Rice,Total,2021,0.66,1.68,2532.00
Himachal Pradesh,,Rice,Total,2022,0.67,1.31,1942.00
Himachal Pradesh,,Rice,Total,2023,0.70,1.73,2474.00
Himachal Pradesh,,Rice,Total,2024,0.68,1.42,2080.00
Himachal Pradesh,,Rice,Total,2025,0.65,1.34,2076.00
Jammu And Kashmir,,Rice,Kharif,2021,2.69,4.93,1834.00
Jammu And Kashmir,,Rice,Kharif,2022,2.74,6.04,2202.00
Jammu And Kashmir,,Rice,Kharif,2023,2.58,6.41,2482.00
Jammu And Kashmir,,Rice,Kharif,2024,2.58,6.41,2482.00
Jammu And Kashmir,,Rice,Rabi,2021,0.00,0.00,0.00
Jammu And Kashmir,,Rice,Total,2021,2.69,4.93,1834.00
Jammu And Kashmir,,Rice,Total,2022,2.74,6.04,2202.00
Jammu And Kashmir,,Rice,Total,2023,2.58,6.41,2482.00
Jammu And Kashmir,,Rice,Total,2024,2.58,6.41,2482.00
Jharkhand,,Rice,Kharif,2021,14.45,29.30,2028.00
Jharkhand,,Rice,Kharif,2022,8.55,14.94,1747.00
Jharkhand,,Rice,Kharif,2023,11.00,15.16,1378.00
Jharkhand,,Rice,Kharif,2024,14.69,27.83,1894.00
Jharkhand,,Rice,Kharif,2025,17.07,33.95,1989.00
Jharkhand,,Rice,Rabi,2021,,0.00,
Jharkhand,,Rice,Total,2021,14.45,29.30,2028.00
Jharkhand,,Rice,Total,2022,8.55,14.94,1747.00
Jharkhand,,Rice,Total,2023,11.00,15.16,1378.00
Jharkhand,,Rice,Total,2024,14.69,27.83,1894.00
Jharkhand,,Rice,Total,2025,17.07,33.95,1989.00
Karnataka,,Rice,Kharif,2021,10.08,31.22,3097.00
Karnataka,,Rice,Kharif,2022,9.46,31.63,3344.00
Karnataka,,Rice,Kharif,2023,8.49,28.23,3325.00
Karnataka,,Rice,Kharif,2024,8.86,30.08,3395.00
Karnataka,,Rice,Kharif,2025,8.95,29.54,3301.00
Karnataka,,Rice,Rabi,2021,3.90,11.97,3069.00
Karnataka,,Rice,Rabi,2022,0.92,2.42,2633.00
Karnataka,,Rice,Rabi,2023,0.43,1.16,2694.00
