subdivision,year,month,rainfall_mm
Naga Mani Mizo Tripura,1930,11,230.7
Naga Mani Mizo Tripura,1930,12,1
Naga Mani Mizo Tripura,1931,1,2.7
Naga Mani Mizo Tripura,1931,2,53
Naga Mani Mizo Tripura,1931,3,59.6
Naga Mani Mizo Tripura,1931,4,109.9
Naga Mani Mizo Tripura,1931,5,360.6
Naga Mani Mizo Tripura,1931,6,388.8
Naga Mani Mizo Tripura,1931,7,520
Naga Mani Mizo Tripura,1931,8,300.4
Naga Mani Mizo Tripura,1931,9,364.1
Naga Mani Mizo Tripura,1931,10,209.9
Naga Mani Mizo Tripura,1931,11,69.2
Naga Mani Mizo Tripura,1931,12,23
Naga Mani Mizo Tripura,1932,1,6.1
Naga Mani Mizo Tripura,1932,2,69.7
Naga Mani Mizo Tripura,1932,3,99.1
Naga Mani Mizo Tripura,1932,4,162.2
Naga Mani Mizo Tripura,1932,5,323.6
Naga Mani Mizo Tripura,1932,6,600.7
Naga Mani Mizo Tripura,1932,7,491.2
Naga Mani Mizo Tripura,1932,8,402.4
Naga Mani Mizo Tripura,1932,9,376.2
Naga Mani Mizo Tripura,1932,10,80.4
Naga Mani Mizo Tripura,1932,11,145.9
Naga Mani Mizo Tripura,1932,12,4.3
Naga Mani Mizo Tripura,1933,1,2.5
Naga Mani Mizo Tripura,1933,2,19.7
Naga Mani Mizo Tripura,1933,3,34.3
Naga Mani Mizo Tripura,1933,4,167
Naga Mani Mizo Tripura,1933,5,298.4
Naga Mani Mizo Tripura,1933,6,463.4
Naga Mani Mizo Tripura,1933,7,476.3
Naga Mani Mizo Tripura,1933,8,603.5
Naga Mani Mizo Tripura,1933,9,259.6
Naga Mani Mizo Tripura,1933,10,113.4
Naga Mani Mizo Tripura,1933,11,9.6
Naga Mani Mizo Tripura,1933,12,4.1
Naga Mani Mizo Tripura,1934,1,16
Naga Mani Mizo Tripura,1934,2,135.1
Naga Mani Mizo Tripura,1934,3,57.1
Naga Mani Mizo Tripura,1934,4,191.1
Naga Mani Mizo Tripura,1934,5,313.2
Naga Mani Mizo Tripura,1934,6,567.2
Naga Mani Mizo Tripura,1934,7,618.6
Naga Mani Mizo Tripura,1934,8,368.3
Naga Mani Mizo Tripura,1934,9,336.4
Naga Mani Mizo Tripura,1934,10,227.7
Naga Mani Mizo Tripura,1934,11,197.3
Naga Mani Mizo Tripura,1934,12,12.8
Naga Mani Mizo Tripura,1935,1,0.6
Naga Mani Mizo Tripura,1935,2,48.3
Naga Mani Mizo Tripura,1935,3,43.7
Naga Mani Mizo Tripura,1935,4,173.3
Naga Mani Mizo Tripura,1935,5,171.2
Naga Mani Mizo Tripura,1935,6,547.1
Naga Mani Mizo Tripura,1935,7,506.4
Naga Mani Mizo Tripura,1935,8,553.5
Naga Mani Mizo Tripura,1935,9,339.1
Naga Mani Mizo Tripura,1935,10,124.8
Naga Mani Mizo Tripura,1935,11,33.1
Naga Mani Mizo Tripura,1935,12,2.2
Naga Mani Mizo Tripura,1936,1,19.3
Naga Mani Mizo Tripura,1936,2,73.1
Naga Mani Mizo Tripura,1936,3,104.6
Naga Mani Mizo Tripura,1936,4,227.5
Naga Mani Mizo Tripura,1936,5,489.5
Naga Mani Mizo Tripura,1936,6,418.3
Naga Mani Mizo Tripura,1936,7,529.7
Naga Mani Mizo Tripura,1936,8,507.6
Naga Mani Mizo Tripura,1936,9,309.4
Naga Mani Mizo Tripura,1936,10,202.6
Naga Mani Mizo Tripura,1936,11,22.6
Naga Mani Mizo Tripura,1936,12,13
Naga Mani Mizo Tripura,1937,1,0.1
Naga Mani Mizo Tripura,1937,2,60
Naga Mani Mizo Tripura,1937,3,37.3
Naga Mani Mizo Tripura,1937,4,85.4
Naga Mani Mizo Tripura,1937,5,337.1
Naga Mani Mizo Tripura,1937,6,528.9
Naga Mani Mizo Tripura,1937,7,490.1
Naga Mani Mizo Tripura,1937,8,614.8
Naga Mani Mizo Tripura,1937,9,291
Naga Mani Mizo Tripura,1937,10,207.1
Naga Mani Mizo Tripura,1937,11,17.9
Naga Mani Mizo Tripura,1937,12,72
Naga Mani Mizo Tripura,1938,1,29.2
Naga Mani Mizo Tripura,1938,2,29.2
Naga Mani Mizo Tripura,1938,3,133.8
Naga Mani Mizo Tripura,1938,4,153.6
Naga Mani Mizo Tripura,1938,5,429
Naga Mani Mizo Tripura,1938,6,494.6
Naga Mani Mizo Tripura,1938,7,413.6
Naga Mani Mizo Tripura,1938,8,491.4
Naga Mani Mizo Tripura,1938,9,441.7
Naga Mani Mizo Tripura,1938,10,243.9
Naga Mani Mizo Tripura,1938,11,111.7
Naga Mani Mizo Tripura,1938,12,0
Naga Mani Mizo Tripura,1939,1,2.6
Naga Mani Mizo Tripura,1939,2,59.3
Naga Mani Mizo Tripura,1939,3,34.5
Naga Mani Mizo Tripura,1939,4,203.7
Naga Mani Mizo Tripura,1939,5,274.4
Naga Mani Mizo Tripura,1939,6,449.6
Naga Mani Mizo Tripura,1939,7,638.8
Naga Mani Mizo Tripura,1939,8,333.9
Naga Mani Mizo Tripura,1939,9,380.8
Naga Mani Mizo Tripura,1939,10,198.8
Naga Mani Mizo Tripura,1939,11,30
Naga Mani Mizo Tripura,1939,12,2
Naga Mani Mizo Tripura,1940,1,0.3
Naga Mani Mizo Tripura,1940,2,74.6
Naga Mani Mizo Tripura,1940,3,230.9
Naga Mani Mizo Tripura,1940,4,35.5
Naga Mani Mizo Tripura,1940,5,325.6
Naga Mani Mizo Tripura,1940,6,496.2
Naga Mani Mizo Tripura,1940,7,458.2
Naga Mani Mizo Tripura,1940,8,345.7
Naga Mani Mizo Tripura,1940,9,373.3
Naga Mani Mizo Tripura,1940,10,131.6
Naga Mani Mizo Tripura,1940,11,31.4
Naga Mani Mizo Tripura,1940,12,23.6
Naga Mani Mizo Tripura,1941,1,14.1
Naga Mani Mizo Tripura,1941,2,63.1
Naga Mani Mizo Tripura,1941,3,34.1
Naga Mani Mizo Tripura,1941,4,256.6
Naga Mani Mizo Tripura,1941,5,563.1
Naga Mani Mizo Tripura,1941,6,689.4
Naga Mani Mizo Tripura,1941,7,489.5
Naga Mani Mizo Tripura,1941,8,372.6
Naga Mani Mizo Tripura,1941,9,288.2
Naga Mani Mizo Tripura,1941,10,143.3
Naga Mani Mizo Tripura,1941,11,44.2
Naga Mani Mizo Tripura,1941,12,7.9
Naga Mani Mizo Tripura,1942,1,6
Naga Mani Mizo Tripura,1942,2,15.7
Naga Mani Mizo Tripura,1942,3,78.7
Naga Mani Mizo Tripura,1942,4,250.4
Naga Mani Mizo Tripura,1942,5,305.3
Naga Mani Mizo Tripura,1942,6,528.7
Naga Mani Mizo Tripura,1942,7,403.3
Naga Mani Mizo Tripura,1942,8,461.8
Naga Mani Mizo Tripura,1942,9,420.8
Naga Mani Mizo Tripura,1942,10,65.4
Naga Mani Mizo Tripura,1942,11,143.2
Naga Mani Mizo Tripura,1942,12,1.5
Naga Mani Mizo Tripura,1943,1,68.4
Naga Mani Mizo Tripura,1943,2,28.8
Naga Mani Mizo Tripura,1943,3,131.3
Naga Mani Mizo Tripura,1943,4,143.7
Naga Mani Mizo Tripura,1943,5,210.3
Naga Mani Mizo Tripura,1943,6,496.1
Naga Mani Mizo Tripura,1943,7,422.5
Naga Mani Mizo Tripura,1943,8,485.2
Naga Mani Mizo Tripura,1943,9,354.9
Naga Mani Mizo Tripura,1943,10,84
Naga Mani Mizo Tripura,1943,11,2.2
Naga Mani Mizo Tripura,1943,12,0.6
Naga Mani Mizo Tripura,1944,1,91.4
Naga Mani Mizo Tripura,1944,2,20.2
Naga Mani Mizo Tripura,1944,3,69.7
Naga Mani Mizo Tripura,1944,4,128.6
Naga Mani Mizo Tripura,1944,5,321.8
Naga Mani Mizo Tripura,1944,6,670.5
Naga Mani Mizo Tripura,1944,7,527.9
Naga Mani Mizo Tripura,1944,8,440.7
Naga Mani Mizo Tripura,1944,9,490.8
Naga Mani Mizo Tripura,1944,10,110.5
Naga Mani Mizo Tripura,1944,11,4.4
Naga Mani Mizo Tripura,1944,12,0.7
Naga Mani Mizo Tripura,1945,1,68.7
Naga Mani Mizo Tripura,1945,2,60.9
Naga Mani Mizo Tripura,1945,3,67.7
Naga Mani Mizo Tripura,1945,4,170.4
Naga Mani Mizo Tripura,1945,5,354.2
Naga Mani Mizo Tripura,1945,6,595.3
Naga Mani Mizo Tripura,1945,7,573.9
Naga Mani Mizo Tripura,1945,8,509.7
Naga Mani Mizo Tripura,1945,9,378.8
Naga Mani Mizo Tripura,1945,10,205.6
Naga Mani Mizo Tripura,1945,11,13.3
Naga Mani Mizo Tripura,1945,12,53.3
Naga Mani Mizo Tripura,1946,1,0
Naga Mani Mizo Tripura,1946,2,19.1
Naga Mani Mizo Tripura,1946,3,189.3
Naga Mani Mizo Tripura,1946,4,237.5
Naga Mani Mizo Tripura,1946,5,352.4
Naga Mani Mizo Tripura,1946,6,517.5
Naga Mani Mizo Tripura,1946,7,647.7
Naga Mani Mizo Tripura,1946,8,397.9
Naga Mani Mizo Tripura,1946,9,305.1
Naga Mani Mizo Tripura,1946,10,311.4
Naga Mani Mizo Tripura,1946,11,7.7
Naga Mani Mizo Tripura,1946,12,50.5
Naga Mani Mizo Tripura,1947,1,3
Naga Mani Mizo Tripura,1947,2,4.3
Naga Mani Mizo Tripura,1947,3,44.3
Naga Mani Mizo Tripura,1947,4,176
Naga Mani Mizo Tripura,1947,5,374.4
Naga Mani Mizo Tripura,1947,6,723.9
Naga Mani Mizo Tripura,1947,7,640.5
Naga Mani Mizo Tripura,1947,8,491.1
Naga Mani Mizo Tripura,1947,9,415.6
Naga Mani Mizo Tripura,1947,10,306
Naga Mani Mizo Tripura,1947,11,1.7
Naga Mani Mizo Tripura,1947,12,29.7
Naga Mani Mizo Tripura,1948,1,5.5
Naga Mani Mizo Tripura,1948,2,65.1
Naga Mani Mizo Tripura,1948,3,54.3
Naga Mani Mizo Tripura,1948,4,206.5
Naga Mani Mizo Tripura,1948,5,468.4
Naga Mani Mizo Tripura,1948,6,410.3
Naga Mani Mizo Tripura,1948,7,500.1
Naga Mani Mizo Tripura,1948,8,472.5
Naga Mani Mizo Tripura,1948,9,424.2
Naga Mani Mizo Tripura,1948,10,140
Naga Mani Mizo Tripura,1948,11,71.4
Naga Mani Mizo Tripura,1948,12,3.7
Naga Mani Mizo Tripura,1949,1,8.1
Naga Mani Mizo Tripura,1949,2,12.6
Naga Mani Mizo Tripura,1949,3,67.4
Naga Mani Mizo Tripura,1949,4,370.2
Naga Mani Mizo Tripura,1949,5,419.6
Naga Mani Mizo Tripura,1949,6,562.8
Naga Mani Mizo Tripura,1949,7,507.7
Naga Mani Mizo Tripura,1949,8,416.9
Naga Mani Mizo Tripura,1949,9,427.5
Naga Mani Mizo Tripura,1949,10,177.3
Naga Mani Mizo Tripura,1949,11,4.2
Naga Mani Mizo Tripura,1949,12,2
Naga Mani Mizo Tripura,1950,1,12.3
Naga Mani Mizo Tripura,1950,2,59.7
Naga Mani Mizo Tripura,1950,3,79.1
Naga Mani Mizo Tripura,1950,4,87.8
Naga Mani Mizo Tripura,1950,5,207.4
Naga Mani Mizo Tripura,1950,6,407.4
Naga Mani Mizo Tripura,1950,7,449.4
Naga Mani Mizo Tripura,1950,8,535.3
Naga Mani Mizo Tripura,1950,9,255.4
Naga Mani Mizo Tripura,1950,10,237.5
Naga Mani Mizo Tripura,1950,11,82.9
Naga Mani Mizo Tripura,1950,12,8.7
Naga Mani Mizo Tripura,1951,1,3.9
Naga Mani Mizo Tripura,1951,2,0.2
Naga Mani Mizo Tripura,1951,3,62.4
Naga Mani Mizo Tripura,1951,4,360.1
Naga Mani Mizo Tripura,1951,5,233.7
Naga Mani Mizo Tripura,1951,6,495
Naga Mani Mizo Tripura,1951,7,436.2
Naga Mani Mizo Tripura,1951,8,440.5
Naga Mani Mizo Tripura,1951,9,191.1
Naga Mani Mizo Tripura,1951,10,310.6
Naga Mani Mizo Tripura,1951,11,54.9
Naga Mani Mizo Tripura,1951,12,20.8
Naga Mani Mizo Tripura,1952,1,9.6
Naga Mani Mizo Tripura,1952,2,6.5
Naga Mani Mizo Tripura,1952,3,97.1
Naga Mani Mizo Tripura,1952,4,208.2
Naga Mani Mizo Tripura,1952,5,345.9
Naga Mani Mizo Tripura,1952,6,442.6
Naga Mani Mizo Tripura,1952,7,556.8
Naga Mani Mizo Tripura,1952,8,422.8
Naga Mani Mizo Tripura,1952,9,320.5
Naga Mani Mizo Tripura,1952,10,323.6
Naga Mani Mizo Tripura,1952,11,76.2
Naga Mani Mizo Tripura,1952,12,1.1
Naga Mani Mizo Tripura,1953,1,7.4
Naga Mani Mizo Tripura,1953,2,16.5
Naga Mani Mizo Tripura,1953,3,98.4
Naga Mani Mizo Tripura,1953,4,90
Naga Mani Mizo Tripura,1953,5,453.5
Naga Mani Mizo Tripura,1953,6,570.9
Naga Mani Mizo Tripura,1953,7,387
Naga Mani Mizo Tripura,1953,8,424.3
Naga Mani Mizo Tripura,1953,9,443.8
Naga Mani Mizo Tripura,1953,10,136.2
Naga Mani Mizo Tripura,1953,11,25
Naga Mani Mizo Tripura,1953,12,8.7
Naga Mani Mizo Tripura,1954,1,12.8
Naga Mani Mizo Tripura,1954,2,52.4
Naga Mani Mizo Tripura,1954,3,37.7
Naga Mani Mizo Tripura,1954,4,165.3
Naga Mani Mizo Tripura,1954,5,300.2
Naga Mani Mizo Tripura,1954,6,619.8
Naga Mani Mizo Tripura,1954,7,491.4
Naga Mani Mizo Tripura,1954,8,558.3
Naga Mani Mizo Tripura,1954,9,361.7
Naga Mani Mizo Tripura,1954,10,294.2
Naga Mani Mizo Tripura,1954,11,2.4
Naga Mani Mizo Tripura,1954,12,8.8
Naga Mani Mizo Tripura,1955,1,6.2
Naga Mani Mizo Tripura,1955,2,5.7
Naga Mani Mizo Tripura,1955,3,161.3
Naga Mani Mizo Tripura,1955,4,213.6
Naga Mani Mizo Tripura,1955,5,280.6
Naga Mani Mizo Tripura,1955,6,461.4
Naga Mani Mizo Tripura,1955,7,559.2
Naga Mani Mizo Tripura,1955,8,514.7
Naga Mani Mizo Tripura,1955,9,253.8
Naga Mani Mizo Tripura,1955,10,183.5
Naga Mani Mizo Tripura,1955,11,220.2
Naga Mani Mizo Tripura,1955,12,5.1
Naga Mani Mizo Tripura,1956,1,18.3
Naga Mani Mizo Tripura,1956,2,1.3
Naga Mani Mizo Tripura,1956,3,102.2
Naga Mani Mizo Tripura,1956,4,115.5
Naga Mani Mizo Tripura,1956,5,474
Naga Mani Mizo Tripura,1956,6,758.9
Naga Mani Mizo Tripura,1956,7,529.8
Naga Mani Mizo Tripura,1956,8,469.6
Naga Mani Mizo Tripura,1956,9,257.5
Naga Mani Mizo Tripura,1956,10,187.1
Naga Mani Mizo Tripura,1956,11,101.1
Naga Mani Mizo Tripura,1956,12,7.4
Naga Mani Mizo Tripura,1957,1,59.1
Naga Mani Mizo Tripura,1957,2,60.6
Naga Mani Mizo Tripura,1957,3,10.2
Naga Mani Mizo Tripura,1957,4,104.8
Naga Mani Mizo Tripura,1957,5,300.1
Naga Mani Mizo Tripura,1957,6,409.1
Naga Mani Mizo Tripura,1957,7,425.7
Naga Mani Mizo Tripura,1957,8,429.1
Naga Mani Mizo Tripura,1957,9,354.4
Naga Mani Mizo Tripura,1957,10,148.3
Naga Mani Mizo Tripura,1957,11,0.8
Naga Mani Mizo Tripura,1957,12,1.7
Naga Mani Mizo Tripura,1958,1,6.2
Naga Mani Mizo Tripura,1958,2,87.2
Naga Mani Mizo Tripura,1958,3,18.3
Naga Mani Mizo Tripura,1958,4,93.7
Naga Mani Mizo Tripura,1958,5,400.6
Naga Mani Mizo Tripura,1958,6,256.4
Naga Mani Mizo Tripura,1958,7,308.3
Naga Mani Mizo Tripura,1958,8,254.8
Naga Mani Mizo Tripura,1958,9,299.5
Naga Mani Mizo Tripura,1958,10,238.5
Naga Mani Mizo Tripura,1958,11,2.3
Naga Mani Mizo Tripura,1958,12,2.7
Naga Mani Mizo Tripura,1959,1,39.9
Naga Mani Mizo Tripura,1959,2,77.7
Naga Mani Mizo Tripura,1959,3,148
Naga Mani Mizo Tripura,1959,4,74
Naga Mani Mizo Tripura,1959,5,260
Naga Mani Mizo Tripura,1959,6,378.5
Naga Mani Mizo Tripura,1959,7,396.3
Naga Mani Mizo Tripura,1959,8,357.3
Naga Mani Mizo Tripura,1959,9,239.1
Naga Mani Mizo Tripura,1959,10,352.8
Naga Mani Mizo Tripura,1959,11,0.1
Naga Mani Mizo Tripura,1959,12,3.9
Naga Mani Mizo Tripura,1960,1,0
Naga Mani Mizo Tripura,1960,2,6.1
Naga Mani Mizo Tripura,1960,3,24.9
Naga Mani Mizo Tripura,1960,4,34.2
Naga Mani Mizo Tripura,1960,5,193.8
Naga Mani Mizo Tripura,1960,6,406.4
Naga Mani Mizo Tripura,1960,7,374.9
Naga Mani Mizo Tripura,1960,8,286.6
Naga Mani Mizo Tripura,1960,9,255.6
Naga Mani Mizo Tripura,1960,10,165.9
Naga Mani Mizo Tripura,1960,11,51.3
Naga Mani Mizo Tripura,1960,12,0.3
Naga Mani Mizo Tripura,1961,1,9.5
Naga Mani Mizo Tripura,1961,2,37.5
Naga Mani Mizo Tripura,1961,3,193.3
Naga Mani Mizo Tripura,1961,4,76.9
Naga Mani Mizo Tripura,1961,5,212.1
Naga Mani Mizo Tripura,1961,6,332.5
Naga Mani Mizo Tripura,1961,7,316.5
Naga Mani Mizo Tripura,1961,8,342.8
Naga Mani Mizo Tripura,1961,9,258.8
Naga Mani Mizo Tripura,1961,10,96.1
Naga Mani Mizo Tripura,1961,11,24.4
Naga Mani Mizo Tripura,1961,12,0.8
Naga Mani Mizo Tripura,1962,1,11.2
Naga Mani Mizo Tripura,1962,2,26.6
Naga Mani Mizo Tripura,1962,3,5.4
Naga Mani Mizo Tripura,1962,4,139.8
Naga Mani Mizo Tripura,1962,5,156.6
Naga Mani Mizo Tripura,1962,6,554.6
Naga Mani Mizo Tripura,1962,7,298.8
Naga Mani Mizo Tripura,1962,8,356.6
Naga Mani Mizo Tripura,1962,9,142.5
Naga Mani Mizo Tripura,1962,10,130.4
Naga Mani Mizo Tripura,1962,11,0
Naga Mani Mizo Tripura,1962,12,0
Naga Mani Mizo Tripura,1963,1,0
Naga Mani Mizo Tripura,1963,2,4.6
Naga Mani Mizo Tripura,1963,3,50.7
Naga Mani Mizo Tripura,1963,4,179.3
Naga Mani Mizo Tripura,1963,5,278.5
Naga Mani Mizo Tripura,1963,6,687.9
Naga Mani Mizo Tripura,1963,7,510.3
Naga Mani Mizo Tripura,1963,8,383
Naga Mani Mizo Tripura,1963,9,494.6
Naga Mani Mizo Tripura,1963,10,373.4
Naga Mani Mizo Tripura,1963,11,6.5
Naga Mani Mizo Tripura,1963,12,1.2
Naga Mani Mizo Tripura,1964,1,4
Naga Mani Mizo Tripura,1964,2,37.1
Naga Mani Mizo Tripura,1964,3,67.9
Naga Mani Mizo Tripura,1964,4,280.6
Naga Mani Mizo Tripura,1964,5,303.2
Naga Mani Mizo Tripura,1964,6,357.8
Naga Mani Mizo Tripura,1964,7,484.4
Naga Mani Mizo Tripura,1964,8,242
Naga Mani Mizo Tripura,1964,9,213.3
Naga Mani Mizo Tripura,1964,10,284.7
Naga Mani Mizo Tripura,1964,11,46.3
Naga Mani Mizo Tripura,1964,12,7.5
Naga Mani Mizo Tripura,1965,1,1.9
Naga Mani Mizo Tripura,1965,2,61.5
Naga Mani Mizo Tripura,1965,3,35.9
Naga Mani Mizo Tripura,1965,4,59.4
Naga Mani Mizo Tripura,1965,5,169.5
Naga Mani Mizo Tripura,1965,6,520.5
Naga Mani Mizo Tripura,1965,7,373.4
Naga Mani Mizo Tripura,1965,8,323
Naga Mani Mizo Tripura,1965,9,262.2
Naga Mani Mizo Tripura,1965,10,164.1
Naga Mani Mizo Tripura,1965,11,22.6
Naga Mani Mizo Tripura,1965,12,37
Naga Mani Mizo Tripura,1966,1,15
Naga Mani Mizo Tripura,1966,2,2.7
Naga Mani Mizo Tripura,1966,3,39.8
Naga Mani Mizo Tripura,1966,4,85.3
Naga Mani Mizo Tripura,1966,5,190.3
Naga Mani Mizo Tripura,1966,6,666.8
Naga Mani Mizo Tripura,1966,7,399.3
Naga Mani Mizo Tripura,1966,8,405
Naga Mani Mizo Tripura,1966,9,361.5
Naga Mani Mizo Tripura,1966,10,207
Naga Mani Mizo Tripura,1966,11,40.9
Naga Mani Mizo Tripura,1966,12,65.1
Naga Mani Mizo Tripura,1967,1,51.5
Naga Mani Mizo Tripura,1967,2,33.6
Naga Mani Mizo Tripura,1967,3,129.5
Naga Mani Mizo Tripura,1967,4,195.8
Naga Mani Mizo Tripura,1967,5,247.8
Naga Mani Mizo Tripura,1967,6,311.7
Naga Mani Mizo Tripura,1967,7,388
Naga Mani Mizo Tripura,1967,8,334
Naga Mani Mizo Tripura,1967,9,341.3
Naga Mani Mizo Tripura,1967,10,184.8
Naga Mani Mizo Tripura,1967,11,10.9
Naga Mani Mizo Tripura,1967,12,1.1
Naga Mani Mizo Tripura,1968,1,17.3
Naga Mani Mizo Tripura,1968,2,20.9
Naga Mani Mizo Tripura,1968,3,80.9
Naga Mani Mizo Tripura,1968,4,142.2
Naga Mani Mizo Tripura,1968,5,253.8
Naga Mani Mizo Tripura,1968,6,396.1
Naga Mani Mizo Tripura,1968,7,531.9
Naga Mani Mizo Tripura,1968,8,391
Naga Mani Mizo Tripura,1968,9,178.3
Naga Mani Mizo Tripura,1968,10,68.9
Naga Mani Mizo Tripura,1968,11,28.7
Naga Mani Mizo Tripura,1968,12,0
Naga Mani Mizo Tripura,1969,1,20.1
Naga Mani Mizo Tripura,1969,2,2.4
Naga Mani Mizo Tripura,1969,3,124.6
Naga Mani Mizo Tripura,1969,4,189.8
Naga Mani Mizo Tripura,1969,5,73.5
Naga Mani Mizo Tripura,1969,6,606.6
Naga Mani Mizo Tripura,1969,7,868.3
Naga Mani Mizo Tripura,1969,8,1347.2
Naga Mani Mizo Tripura,1969,9,228.1
Naga Mani Mizo Tripura,1969,10,126.3
Naga Mani Mizo Tripura,1969,11,23.2
Naga Mani Mizo Tripura,1969,12,0
Naga Mani Mizo Tripura,1970,1,45.8
Naga Mani Mizo Tripura,1970,2,306.3
Naga Mani Mizo Tripura,1970,3,103.6
Naga Mani Mizo Tripura,1970,4,160.1
Naga Mani Mizo Tripura,1970,5,315.9
Naga Mani Mizo Tripura,1970,6,541.7
Naga Mani Mizo Tripura,1970,7,976.7
Naga Mani Mizo Tripura,1970,8,836.7
Naga Mani Mizo Tripura,1970,9,486.2
Naga Mani Mizo Tripura,1970,10,425.6
Naga Mani Mizo Tripura,1970,11,116.7
Naga Mani Mizo Tripura,1970,12,1
Naga Mani Mizo Tripura,1971,1,28.4
Naga Mani Mizo Tripura,1971,2,67.6
Naga Mani Mizo Tripura,1971,3,12.4
Naga Mani Mizo Tripura,1971,4,312.6
Naga Mani Mizo Tripura,1971,5,248
Naga Mani Mizo Tripura,1971,6,543.2
Naga Mani Mizo Tripura,1971,7,624
Naga Mani Mizo Tripura,1971,8,553.1
Naga Mani Mizo Tripura,1971,9,421.2
Naga Mani Mizo Tripura,1971,10,171.3
Naga Mani Mizo Tripura,1971,11,94.6
Naga Mani Mizo Tripura,1971,12,4.5
Naga Mani Mizo Tripura,1972,1,4.5
Naga Mani Mizo Tripura,1972,2,46.3
Naga Mani Mizo Tripura,1972,3,32.8
Naga Mani Mizo Tripura,1972,4,145
Naga Mani Mizo Tripura,1972,5,169.1
Naga Mani Mizo Tripura,1972,6,235.6
Naga Mani Mizo Tripura,1972,7,262.7
Naga Mani Mizo Tripura,1972,8,270.8
Naga Mani Mizo Tripura,1972,9,129.6
Naga Mani Mizo Tripura,1972,10,45
Naga Mani Mizo Tripura,1972,11,12.5
Naga Mani Mizo Tripura,1972,12,0
Naga Mani Mizo Tripura,1973,1,16.8
Naga Mani Mizo Tripura,1973,2,46
Naga Mani Mizo Tripura,1973,3,29.3
Naga Mani Mizo Tripura,1973,4,135.3
Naga Mani Mizo Tripura,1973,5,329
Naga Mani Mizo Tripura,1973,6,367.2
Naga Mani Mizo Tripura,1973,7,260
Naga Mani Mizo Tripura,1973,8,323.9
Naga Mani Mizo Tripura,1973,9,232.7
Naga Mani Mizo Tripura,1973,10,159.7
Naga Mani Mizo Tripura,1973,11,162.6
Naga Mani Mizo Tripura,1973,12,43.6
Naga Mani Mizo Tripura,1974,1,8.9
Naga Mani Mizo Tripura,1974,2,2.4
Naga Mani Mizo Tripura,1974,3,98.7
Naga Mani Mizo Tripura,1974,4,160.7
Naga Mani Mizo Tripura,1974,5,218.8
Naga Mani Mizo Tripura,1974,6,438.1
Naga Mani Mizo Tripura,1974,7,517.3
Naga Mani Mizo Tripura,1974,8,361.5
Naga Mani Mizo Tripura,1974,9,273.4
Naga Mani Mizo Tripura,1974,10,167.8
Naga Mani Mizo Tripura,1974,11,81.8
Naga Mani Mizo Tripura,1974,12,0.2
Naga Mani Mizo Tripura,1975,1,1.2
Naga Mani Mizo Tripura,1975,2,24.5
Naga Mani Mizo Tripura,1975,3,17.5
Naga Mani Mizo Tripura,1975,4,164.2
Naga Mani Mizo Tripura,1975,5,243.7
Naga Mani Mizo Tripura,1975,6,348.8
Naga Mani Mizo Tripura,1975,7,526.6
Naga Mani Mizo Tripura,1975,8,252.9
Naga Mani Mizo Tripura,1975,9,278.9
Naga Mani Mizo Tripura,1975,10,205.1
Naga Mani Mizo Tripura,1975,11,146.1
Naga Mani Mizo Tripura,1975,12,0.3
Naga Mani Mizo Tripura,1976,1,3.3
Naga Mani Mizo Tripura,1976,2,51.3
Naga Mani Mizo Tripura,1976,3,113.7
Naga Mani Mizo Tripura,1976,4,187.8
Naga Mani Mizo Tripura,1976,5,287.1
Naga Mani Mizo Tripura,1976,6,861.1
Naga Mani Mizo Tripura,1976,7,507.8
Naga Mani Mizo Tripura,1976,8,365
Naga Mani Mizo Tripura,1976,9,175.1
Naga Mani Mizo Tripura,1976,10,64.8
Naga Mani Mizo Tripura,1976,11,34.2
Naga Mani Mizo Tripura,1976,12,0.1
Naga Mani Mizo Tripura,1977,1,14.2
Naga Mani Mizo Tripura,1977,2,34.9
Naga Mani Mizo Tripura,1977,3,27.7
Naga Mani Mizo Tripura,1977,4,383.8
Naga Mani Mizo Tripura,1977,5,303.7
Naga Mani Mizo Tripura,1977,6,452
Naga Mani Mizo Tripura,1977,7,389.1
Naga Mani Mizo Tripura,1977,8,355.8
Naga Mani Mizo Tripura,1977,9,193
Naga Mani Mizo Tripura,1977,10,149.6
Naga Mani Mizo Tripura,1977,11,38.2
Naga Mani Mizo Tripura,1977,12,16.6
Naga Mani Mizo Tripura,1978,1,0.7
Naga Mani Mizo Tripura,1978,2,4
Naga Mani Mizo Tripura,1978,3,51.6
Naga Mani Mizo Tripura,1978,4,147.5
Naga Mani Mizo Tripura,1978,5,449.4
Naga Mani Mizo Tripura,1978,6,496.7
Naga Mani Mizo Tripura,1978,7,357.8
Naga Mani Mizo Tripura,1978,8,277
Naga Mani Mizo Tripura,1978,9,273.9
Naga Mani Mizo Tripura,1978,10,70.4
Naga Mani Mizo Tripura,1978,11,21.6
Naga Mani Mizo Tripura,1978,12,0
Naga Mani Mizo Tripura,1979,1,1.3
Naga Mani Mizo Tripura,1979,2,8.3
Naga Mani Mizo Tripura,1979,3,72.9
Naga Mani Mizo Tripura,1979,4,55.4
Naga Mani Mizo Tripura,1979,5,158.8
Naga Mani Mizo Tripura,1979,6,361.8
Naga Mani Mizo Tripura,1979,7,370
Naga Mani Mizo Tripura,1979,8,309.7
Naga Mani Mizo Tripura,1979,9,272.9
