subdivision,year,month,rainfall_mm
Andaman & Nicobar Islands,1912,4,21.9
Andaman & Nicobar Islands,1912,5,140.7
Andaman & Nicobar Islands,1912,6,549.8
Andaman & Nicobar Islands,1912,7,468.9
Andaman & Nicobar Islands,1912,8,370.3
Andaman & Nicobar Islands,1912,9,386.2
Andaman & Nicobar Islands,1912,10,318.7
Andaman & Nicobar Islands,1912,11,117.2
Andaman & Nicobar Islands,1912,12,2.3
Andaman & Nicobar Islands,1913,1,84.8
Andaman & Nicobar Islands,1913,2,0.5
Andaman & Nicobar Islands,1913,3,1.3
Andaman & Nicobar Islands,1913,4,2.5
Andaman & Nicobar Islands,1913,5,190.7
Andaman & Nicobar Islands,1913,6,530
Andaman & Nicobar Islands,1913,7,280.8
Andaman & Nicobar Islands,1913,8,205.8
Andaman & Nicobar Islands,1913,9,580.1
Andaman & Nicobar Islands,1913,10,288.8
Andaman & Nicobar Islands,1913,11,133
Andaman & Nicobar Islands,1913,12,67.5
Andaman & Nicobar Islands,1914,1,0
Andaman & Nicobar Islands,1914,2,0
Andaman & Nicobar Islands,1914,3,0
Andaman & Nicobar Islands,1914,4,37.7
Andaman & Nicobar Islands,1914,5,298.8
Andaman & Nicobar Islands,1914,6,383.3
Andaman & Nicobar Islands,1914,7,792.8
Andaman & Nicobar Islands,1914,8,520.5
Andaman & Nicobar Islands,1914,9,310.8
Andaman & Nicobar Islands,1914,10,139.8
Andaman & Nicobar Islands,1914,11,184.4
Andaman & Nicobar Islands,1914,12,289.7
Andaman & Nicobar Islands,1915,1,45
Andaman & Nicobar Islands,1915,2,56.7
Andaman & Nicobar Islands,1915,3,33.3
Andaman & Nicobar Islands,1915,4,40.9
Andaman & Nicobar Islands,1915,5,170.2
Andaman & Nicobar Islands,1915,6,334.7
Andaman & Nicobar Islands,1915,7,269
Andaman & Nicobar Islands,1915,8,317.2
Andaman & Nicobar Islands,1915,9,429.8
Andaman & Nicobar Islands,1915,10,468.1
Andaman & Nicobar Islands,1915,11,258.4
Andaman & Nicobar Islands,1915,12,318
Andaman & Nicobar Islands,1916,1,0
Andaman & Nicobar Islands,1916,2,0
Andaman & Nicobar Islands,1916,3,0
Andaman & Nicobar Islands,1916,4,0.5
Andaman & Nicobar Islands,1916,5,487.4
Andaman & Nicobar Islands,1916,6,450.1
Andaman & Nicobar Islands,1916,7,317.3
Andaman & Nicobar Islands,1916,8,425
Andaman & Nicobar Islands,1916,9,561.2
Andaman & Nicobar Islands,1916,10,369.7
Andaman & Nicobar Islands,1916,11,192.6
Andaman & Nicobar Islands,1916,12,133.7
Andaman & Nicobar Islands,1917,1,8
Andaman & Nicobar Islands,1917,2,3.6
Andaman & Nicobar Islands,1917,3,112
Andaman & Nicobar Islands,1917,4,4.5
Andaman & Nicobar Islands,1917,5,295.9
Andaman & Nicobar Islands,1917,6,301.1
Andaman & Nicobar Islands,1917,7,394.8
Andaman & Nicobar Islands,1917,8,437.4
Andaman & Nicobar Islands,1917,9,471.8
Andaman & Nicobar Islands,1917,10,238.1
Andaman & Nicobar Islands,1917,11,108.3
Andaman & Nicobar Islands,1917,12,236.9
Andaman & Nicobar Islands,1918,1,77.4
Andaman & Nicobar Islands,1918,2,6.9
Andaman & Nicobar Islands,1918,3,11.4
Andaman & Nicobar Islands,1918,4,10.7
Andaman & Nicobar Islands,1918,5,729.3
Andaman & Nicobar Islands,1918,6,710.8
Andaman & Nicobar Islands,1918,7,200.9
Andaman & Nicobar Islands,1918,8,455.4
Andaman & Nicobar Islands,1918,9,303.3
Andaman & Nicobar Islands,1918,10,227
Andaman & Nicobar Islands,1918,11,366.9
Andaman & Nicobar Islands,1918,12,175
Andaman & Nicobar Islands,1919,1,10.2
Andaman & Nicobar Islands,1919,2,18
Andaman & Nicobar Islands,1919,3,0
Andaman & Nicobar Islands,1919,4,35.5
Andaman & Nicobar Islands,1919,5,283.9
Andaman & Nicobar Islands,1919,6,542.5
Andaman & Nicobar Islands,1919,7,246.5
Andaman & Nicobar Islands,1919,8,259.8
Andaman & Nicobar Islands,1919,9,170.7
Andaman & Nicobar Islands,1919,10,186.2
Andaman & Nicobar Islands,1919,11,340.4
Andaman & Nicobar Islands,1919,12,258.4
Andaman & Nicobar Islands,1920,1,122.3
Andaman & Nicobar Islands,1920,2,7.4
Andaman & Nicobar Islands,1920,3,3.1
Andaman & Nicobar Islands,1920,4,13
Andaman & Nicobar Islands,1920,5,237.4
Andaman & Nicobar Islands,1920,6,546.9
Andaman & Nicobar Islands,1920,7,294.4
Andaman & Nicobar Islands,1920,8,467.4
Andaman & Nicobar Islands,1920,9,505.4
Andaman & Nicobar Islands,1920,10,397.5
Andaman & Nicobar Islands,1920,11,262.9
Andaman & Nicobar Islands,1920,12,85.5
Andaman & Nicobar Islands,1921,1,13.2
Andaman & Nicobar Islands,1921,2,3.1
Andaman & Nicobar Islands,1921,3,0
Andaman & Nicobar Islands,1921,4,37.5
Andaman & Nicobar Islands,1921,5,351.2
Andaman & Nicobar Islands,1921,6,282.7
Andaman & Nicobar Islands,1921,7,487.1
Andaman & Nicobar Islands,1921,8,330
Andaman & Nicobar Islands,1921,9,581.2
Andaman & Nicobar Islands,1921,10,360.7
Andaman & Nicobar Islands,1921,11,118.2
Andaman & Nicobar Islands,1921,12,41.5
Andaman & Nicobar Islands,1922,1,245.3
Andaman & Nicobar Islands,1922,2,34.3
Andaman & Nicobar Islands,1922,3,15.6
Andaman & Nicobar Islands,1922,4,323.1
Andaman & Nicobar Islands,1922,5,289.7
Andaman & Nicobar Islands,1922,6,506.1
Andaman & Nicobar Islands,1922,7,425.8
Andaman & Nicobar Islands,1922,8,307.4
Andaman & Nicobar Islands,1922,9,511.7
Andaman & Nicobar Islands,1922,10,162
Andaman & Nicobar Islands,1922,11,541
Andaman & Nicobar Islands,1922,12,192.2
Andaman & Nicobar Islands,1923,1,79.5
Andaman & Nicobar Islands,1923,2,0
Andaman & Nicobar Islands,1923,3,
Andaman & Nicobar Islands,1923,4,91.3
Andaman & Nicobar Islands,1923,5,293.5
Andaman & Nicobar Islands,1923,6,808.4
Andaman & Nicobar Islands,1923,7,636.9
Andaman & Nicobar Islands,1923,8,182.2
Andaman & Nicobar Islands,1923,9,560.5
Andaman & Nicobar Islands,1923,10,131.9
Andaman & Nicobar Islands,1923,11,197.4
Andaman & Nicobar Islands,1923,12,70.6
Andaman & Nicobar Islands,1924,1,28.7
Andaman & Nicobar Islands,1924,2,0
Andaman & Nicobar Islands,1924,3,14.8
Andaman & Nicobar Islands,1924,4,89.7
Andaman & Nicobar Islands,1924,5,191.2
Andaman & Nicobar Islands,1924,6,261.2
Andaman & Nicobar Islands,1924,7,493.3
Andaman & Nicobar Islands,1924,8,290.9
Andaman & Nicobar Islands,1924,9,251.2
Andaman & Nicobar Islands,1924,10,331.1
Andaman & Nicobar Islands,1924,11,378.6
Andaman & Nicobar Islands,1924,12,
Andaman & Nicobar Islands,1925,1,36.6
Andaman & Nicobar Islands,1925,2,0
Andaman & Nicobar Islands,1925,3,8.6
Andaman & Nicobar Islands,1925,4,50.4
Andaman & Nicobar Islands,1925,5,282.2
Andaman & Nicobar Islands,1925,6,663.8
Andaman & Nicobar Islands,1925,7,241.8
Andaman & Nicobar Islands,1925,8,278.2
Andaman & Nicobar Islands,1925,9,201.9
Andaman & Nicobar Islands,1925,10,249.5
Andaman & Nicobar Islands,1925,11,271.5
Andaman & Nicobar Islands,1925,12,196
Andaman & Nicobar Islands,1926,1,122.1
Andaman & Nicobar Islands,1926,2,0
Andaman & Nicobar Islands,1926,3,0
Andaman & Nicobar Islands,1926,4,0.5
Andaman & Nicobar Islands,1926,5,198.4
Andaman & Nicobar Islands,1926,6,370
Andaman & Nicobar Islands,1926,7,195.3
Andaman & Nicobar Islands,1926,8,523.7
Andaman & Nicobar Islands,1926,9,719.3
Andaman & Nicobar Islands,1926,10,443.8
Andaman & Nicobar Islands,1926,11,148.4
Andaman & Nicobar Islands,1926,12,560.7
Andaman & Nicobar Islands,1927,1,3
Andaman & Nicobar Islands,1927,2,17.5
Andaman & Nicobar Islands,1927,3,17.8
Andaman & Nicobar Islands,1927,4,108.6
Andaman & Nicobar Islands,1927,5,504.1
Andaman & Nicobar Islands,1927,6,433.3
Andaman & Nicobar Islands,1927,7,195.2
Andaman & Nicobar Islands,1927,8,370.1
